ID,Nome,Codice,Verniciati,Scorta
1082,"PANN. TETTO AGR 1200X500","AGR1205TT",0,10
1083,"PANN. TETTO AGR 1200X600","AGR1206TT",0,10
1084,"PANN. TETTO AGR 1200X800","AGR1208TT",0,10
1090,"PANN. TETTO AGR 1400X1000","AGR1410TT",0,10
1086,"PANN. TETTO AGR 1400X400","AGR1404TT",0,10
1087,"PANN. TETTO AGR 1400X500","AGR1405TT",0,10
1088,"PANN. TETTO AGR 1400X600","AGR1406TT",0,10
1089,"PANN. TETTO AGR 1400X800","AGR1408TT",0,10
1095,"PANN. TETTO AGR 1600X1000","AGR1610TT",0,10
1091,"PANN. TETTO AGR 1600X400","AGR1604TT",0,10
1092,"PANN. TETTO AGR 1600X500","AGR1605TT",0,10
1093,"PANN. TETTO AGR 1600X600","AGR1606TT",0,10
1094,"PANN. TETTO AGR 1600X800","AGR1608TT",0,10
1067,"PANN. TETTO AGR 300X500","AGR0305TT",0,10
1068,"PANN. TETTO AGR 300X600","AGR0306TT",0,10
1064,"PANN. TETTO AGR 400X300","AGR0403TT",0,10
1065,"PANN. TETTO AGR 400X400","AGR0404TT",0,10
1066,"PANN. TETTO AGR 400X500","AGR0405TT",0,10
1069,"PANN. TETTO AGR 600X400","AGR0604TT",0,10
1070,"PANN. TETTO AGR 600X500","AGR0605TT",0,10
1071,"PANN. TETTO AGR 600X600","AGR0606TT",0,10
1072,"PANN. TETTO AGR 800X400","AGR0804TT",0,10
1073,"PANN. TETTO AGR 800X500","AGR0805TT",0,10
1074,"PANN. TETTO AGR 800X600","AGR0806TT",0,10
1075,"PANN. TETTO AGR 800X800","AGR0808TT",0,10
261,"PANNELLO RETRO AG L1000 H1000","AG-RE1010",0,10
262,"PANNELLO RETRO AG L1000 H1200","AG-RE1012",0,10
263,"PANNELLO RETRO AG L1000 H1400","AG-RE1014",0,10
264,"PANNELLO RETRO AG L1000 H1600","AG-RE1016",0,10
265,"PANNELLO RETRO AG L1000 H1800","AG-RE1018",0,10
266,"PANNELLO RETRO AG L1000 H2000","AG-RE1020",0,10
267,"PANNELLO RETRO AG L1000 H2200","AG-RE1022",0,10
269,"PANNELLO RETRO AG L1200 H1000","AG-RE1210",0,10
270,"PANNELLO RETRO AG L1200 H1200","AG-RE1212",0,10
271,"PANNELLO RETRO AG L1200 H1400","AG-RE1214",0,10
272,"PANNELLO RETRO AG L1200 H1600","AG-RE1216",0,10
273,"PANNELLO RETRO AG L1200 H1800","AG-RE1218",0,10
274,"PANNELLO RETRO AG L1200 H2000","AG-RE1220",0,10
275,"PANNELLO RETRO AG L1200 H2200","AG-RE1222",0,10
268,"PANNELLO RETRO AG L1200 H800","AG-RE128",0,10
277,"PANNELLO RETRO AG L1400 H1000","AG-RE1410",0,10
278,"PANNELLO RETRO AG L1400 H1200","AG-RE1412",0,10
279,"PANNELLO RETRO AG L1400 H1800","AG-RE1418",0,10
280,"PANNELLO RETRO AG L1400 H2000","AG-RE1420",0,10
281,"PANNELLO RETRO AG L1400 H2200","AG-RE1422",0,10
276,"PANNELLO RETRO AG L1400 H800","AG-RE148",0,10
283,"PANNELLO RETRO AG L1600 H1000","AG-RE1610",0,10
284,"PANNELLO RETRO AG L1600 H1200","AG-RE1612",0,10
285,"PANNELLO RETRO AG L1600 H1400","AG-RE1614",0,10
282,"PANNELLO RETRO AG L1600 H800","AG-RE168",0,10
286,"PANNELLO RETRO AG L1800 H800","AG-RE188",0,10
288,"PANNELLO RETRO AG L2000 H1000","AG-RE2010",0,10
287,"PANNELLO RETRO AG L2000 H800","AG-RE208",0,10
236,"PANNELLO RETRO AG L250 H1800","AG-RE02518",0,10
237,"PANNELLO RETRO AG L300 H1800","AG-RE0318",0,10
238,"PANNELLO RETRO AG L300 H2000","AG-RE0320",0,10
239,"PANNELLO RETRO AG L400 H1400","AG-RE0414",0,10
240,"PANNELLO RETRO AG L400 H1600","AG-RE0416",0,10
241,"PANNELLO RETRO AG L400 H1800","AG-RE0418",0,10
242,"PANNELLO RETRO AG L400 H2000","AG-RE0420",0,10
243,"PANNELLO RETRO AG L400 H2200","AG-RE0422",0,10
244,"PANNELLO RETRO AG L600 H1000","AG-RE0610",0,10
245,"PANNELLO RETRO AG L600 H1200","AG-RE0612",0,10
246,"PANNELLO RETRO AG L600 H1400","AG-RE0614",0,10
247,"PANNELLO RETRO AG L600 H1600","AG-RE0616",0,10
248,"PANNELLO RETRO AG L600 H1800","AG-RE0618",0,10
249,"PANNELLO RETRO AG L600 H2000","AG-RE0620",0,10
250,"PANNELLO RETRO AG L600 H2200","AG-RE0622",0,10
251,"PANNELLO RETRO AG L800 H1000","AG-RE0810",0,10
252,"PANNELLO RETRO AG L800 H1200","AG-RE0812",0,10
253,"PANNELLO RETRO AG L800 H1400","AG-RE0814",0,10
254,"PANNELLO RETRO AG L800 H1600","AG-RE0816",0,10
255,"PANNELLO RETRO AG L800 H1800","AG-RE0818",0,10
258,"PANNELLO RETRO AG L800 H1800 SC","AG-RE0818-SC",0,10
256,"PANNELLO RETRO AG L800 H2000","AG-RE0820",0,10
259,"PANNELLO RETRO AG L800 H2000 SC","AG-RE0820-SC",0,10
257,"PANNELLO RETRO AG L800 H2200","AG-RE0822",0,10
260,"PANNELLO RETRO AG L800 H2200 SC","AG-RE0822-SC",0,10
22,"PIASTRA AT 1000X1000","AT-PA1010",0,10
23,"PIASTRA AT 1000X1200","AT-PA1012",0,10
24,"PIASTRA AT 1000X1400","AT-PA1014",0,10
21,"PIASTRA AT 1000X800","AT-PA1008",0,10
26,"PIASTRA AT 1200X1000","AT-PA1210",0,10
27,"PIASTRA AT 1200X1200","AT-PA1212",0,10
25,"PIASTRA AT 1200X800","AT-PA1208",0,10
1,"PIASTRA AT 200X300","AT-PA0203",0,10
2,"PIASTRA AT 250X300","AT-PA02503",0,10
3,"PIASTRA AT 300X300","AT-PA0303",0,10
4,"PIASTRA AT 300X400","AT-PA0304",0,10
5,"PIASTRA AT 300X500","AT-PA0305",0,10
6,"PIASTRA AT 400X300","AT-PA0403",0,10
